,Index,ra,dec,tce_delivname,tce_datalink_dvr,tce_datalink_dvs,tce_nkoi,kepid,tce_plnt_num,tce_num_transits,tce_max_sngle_ev,tce_max_mult_ev,tce_fwm_sra_err,tce_fwm_sra,tce_fwm_sdec_err,tce_fwm_sdec,tce_fwm_srao_err,tce_fwm_srao,tce_fwm_sdeco_err,tce_fwm_sdeco,tce_fwm_prao_err,tce_fwm_prao,tce_fwm_pdeco_err,tce_fwm_pdeco,tce_fwm_stat,tce_dicco_mdec_err,tce_dicco_mdec,tce_dicco_mra_err,tce_dicco_mra,tce_dicco_msky_err,tce_dicco_msky,tce_dicco_fdec_err,tce_dicco_fdec,tce_dicco_fra_err,tce_dicco_fra,tce_dicco_fsky_err,tce_dicco_fsky,tce_dikco_mdec_err,tce_dikco_mdec,tce_dikco_mra_err,tce_dikco_mra,tce_dikco_msky_err,tce_dikco_msky,tce_dikco_fdec_err,tce_dikco_fdec,tce_dikco_fra_err,tce_dikco_fra,tce_dikco_fsky_err,tce_dikco_fsky,tce_bin_oedp_stat,tce_full_conv,tce_limbdark_mod,tce_ldm_coeff4,tce_ldm_coeff3,tce_ldm_coeff2,tce_ldm_coeff1,tce_trans_mod,tce_model_snr,tce_model_dof,tce_model_chisq,tce_time0bk_err,tce_time0bk,tce_eccen_err,tce_eccen,tce_longp_err,tce_longp,tce_prad_err,tce_prad,tce_sma_err,tce_sma,tce_impact_err,tce_impact,tce_duration_err,tce_duration,tce_ingress_err,tce_ingress,tce_depth_err,tce_depth,tce_period_err,tce_period,tce_ror_err,tce_ror,tce_dor_err,tce_dor,tce_incl_err,tce_incl,tce_eqt_err,tce_eqt,tce_steff_err,tce_steff,tce_slogg_err,tce_slogg,tce_smet_err,tce_smet,rowupdate,tce_robstat,tce_dof2,tce_dof1,tce_chisq2,tce_chisq1,tce_mesmad,tce_minmes,tce_minmesd,tce_maxmes,tce_maxmesd,tce_quarters,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sradius_err,tce_sradius,tce_rmesmad,tce_rsnrmes,tce_rminmes,tce_time0_err,tce_time0,tce_ioflag,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,av_vf_pc,av_vf_pc_err,av_vf_afp,av_vf_afp_err,av_vf_ntp,av_vf_ntp_err,av_pp_pc,av_pp_afp,av_pp_ntp,av_training_set,av_pred_class,tce_chisqgofdof,tce_chisqgof,tce_insol_err,tce_insol,tcet_period_err,tcet_period,tcet_time0bk_err,tcet_time0bk,tcet_time0_err,tcet_time0,tcet_duration_err,tcet_duration,tcet_ingress_err,tcet_ingress,tcet_depth_err,tcet_depth,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,wst_depth_err,tce_mesmedian,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,tce_cap_stat,tce_hap_stat,tce_rb_tpdur,tce_rb_tcount0,tce_rb_tcount1,tce_rb_tcount2,tce_rb_tcount3,tce_rb_tcount4,tce,tt
0,189,291.55908,37.28304,q1_q17_dr25_tce,001/001721/001721614/dv/kplr001721614-20160209194854_dvr.pdf,001/001721/001721614/dv/kplr001721614-001-20160209194854_dvs.pdf,0,1721614,1,4,13.45,13.88,1.73e-05,19.437258,0.00022200000000000003,37.282911,0.742,-0.5907,0.7979999999999999,-0.4632,0.000594,0.00046580000000000005,0.000666,0.0002035,2.4334,0.0763,0.064591,0.0786,-0.060459000000000006,0.0774,0.08847200000000001,-1,0,-1,0,-1,0,0.0874,0.30954,0.0927,-0.0038419000000000005,0.0869,0.30956,-1,0,-1,0,-1,0,0.2797,1,claret_nonlinear_limb_darkening_model_2011,0.37204,-1.1152473999999999,1.2409738000000001,0.1614546,mandel-agol_geometric_transit_model,4.628,106.4,86.92,0.00534028,422.014,0,0,0,0,2.8110000000000004,3.093,0.228,0.9584,5.466,0.5733,0.9625,2.8310000000000004,1.046,0.1027,145.3,697.1,0.00202515,368.394,0.022067027000000003,0.025258757000000003,3923.397,844.96013,0.5512,89.96,29.1,297.0,169.0,6221.0,0.22,4.28,0.3,-0.7,01-MAY-2016,7.431,8.171,36.0,14.16,65.35,0.691,-7.563,112.7,8.905,47.74,11111111111111111000000000000000,PHO1,KIC0,KIC0,DSEP,0.282,1.122,20.08,0.3335,0.545,0.00534028,2455260.0,,,,,,,,,,,,,,,,,25.0,56.89,0.72,1.84,-1.0,368.39099999999996,-1.0,421.99199999999996,-1.0,2455250.0,-1.0,1.95,-1.0,0.975,-1.0,518.8,1,92590.0,192.0,0.2306,54.63,127.4,-0.01993,2887.0,8482.0,3365.22,2453.27,0.3402,1.251,2.972,1.69,6,4,0,0,0,0,001721614-01,"[422.01400000000001, 790.40800000000002, 1158.8020000000001, 1527.1960000000001]"
1,1616,286.88712000000004,38.901740000000004,q1_q17_dr25_tce,003/003836/003836276/dv/kplr003836276-20160209194854_dvr.pdf,003/003836/003836276/dv/kplr003836276-002-20160209194854_dvs.pdf,0,3836276,2,4,11.27,12.53,1.95e-05,19.125803,0.000199,38.901990000000005,0.818,-0.2126,0.7170000000000001,0.9016,0.0046700000000000005,-0.00011740000000000002,0.0055899999999999995,-0.002382,4.9923,0.294,-0.38369000000000003,0.17,0.33405,0.32299999999999995,0.50873,-1,0,-1,0,-1,0,0.254,-0.53846,0.146,0.22034,0.28300000000000003,0.5818,-1,0,-1,0,-1,0,0.01007,1,claret_nonlinear_limb_darkening_model_2011,0.1281816,-0.569435,0.9038984,0.23860720000000002,mandel-agol_geometric_transit_model,8.412,128.1,212.2,0.00685043,239.968,0,0,0,0,2.4819999999999998,4.284,0.1238,0.8926,2.6430000000000002,0.6023,1.131,3.032,1.248,0.2251,506.9,2836.0,0.00390131,367.655,0.028469237,0.050985351,1973.0122,797.94598,0.2967,89.96,14.3,230.0,183.0,5604.0,0.12,4.51,0.35,-0.76,01-MAY-2016,8.857000000000001,10.92,36.0,27.03,94.7,0.6986,-10.29,16.83,6.505,16.72,11111111111111111000000000000000,PHO1,KIC0,KIC0,DSEP,0.11900000000000001,0.77,17.94,0.6713,0.821,0.00685043,2455070.0,,,,,,,,,,,,,,,,,22.0,63.78,0.16,0.66,-1.0,367.659,-1.0,239.954,-1.0,2455070.0,-1.0,2.5639999999999996,-1.0,0.02267,-1.0,4129.0,1,88530.0,178.0,1.589,654.7,532.5,0.009544,15640.0,21860.0,3970.02,1377.26,0.7154,2.716,1.93,3.2239999999999998,6,4,0,0,0,0,003836276-02,"[239.96799999999999, 607.62299999999993, 975.27799999999991, 1342.933]"
2,12559,295.39549,42.47906,q1_q17_dr25_tce,006/006961/006961315/dv/kplr006961315-20160209194854_dvr.pdf,006/006961/006961315/dv/kplr006961315-001-20160209194854_dvs.pdf,0,6961315,1,3,8.787,9.907,0.00011,19.693101000000002,0.0013800000000000002,42.480118,4.39,2.74,4.95,3.8089999999999997,0.0034799999999999996,-0.002135,-1.0,0.0,0.0,0.33799999999999997,2.3185,0.326,0.6737,0.337,2.4144,-1,0,-1,0,-1,0,0.33799999999999997,2.2361,0.326,0.6086600000000001,0.337,2.3175,-1,0,-1,0,-1,0,0.2823,1,claret_nonlinear_limb_darkening_model_2011,-0.1216582,0.0900222,0.3127232,0.450626,mandel-agol_geometric_transit_model,2.3680000000000003,38.94,54.97,0.0187807,430.001,0,0,0,0,37.84,2.924,0.2504,1.006,41.71,0.7117,8.355,1.454,9.982999999999999,0.07527,620.9,742.2,0.012736,365.976,0.34810847,0.026900442000000004,84331.63,1423.4792,3.3760000000000003,89.97,25.3,260.0,193.0,5921.0,0.2,4.45,0.3,-0.04,01-MAY-2016,6.9639999999999995,6.779,27.0,4.618,57.13,0.6929,-6.322,-46.7,6.901,163.7,11111111111111111000000000000000,PHO1,KIC0,KIC0,DSEP,0.29100000000000004,0.996,14.3,0.239,0.6381,0.0187807,2455260.0,,,,,,,,,,,,,,,,,36.0,70.53,0.42,1.08,-1.0,365.972,-1.0,430.01300000000003,-1.0,2455260.0,-1.0,1.0,-1.0,0.5,-1.0,1494.0,1,66840.0,285.0,3.123,826.0,271.3,0.00321,53780.0,1392000.0,6120.19,39603.21,0.03863,0.14800000000000002,1.617,-0.7199,3,3,0,0,0,0,006961315-01,"[430.00099999999998, 795.97699999999998, 1161.953, 1527.9290000000001]"
3,12992,293.196079,42.33448,q1_q17_dr25_tce,006/006867/006867765/dv/kplr006867765-20160209194854_dvr.pdf,006/006867/006867765/dv/kplr006867765-001-20160209194854_dvs.pdf,0,6867765,1,4,4.521,7.148,2.8100000000000002e-05,19.546369,0.000307,42.335018,1.12,-1.4469999999999998,1.11,1.9380000000000002,0.00025,0.0002937,0.00024700000000000004,-0.00040780000000000005,11.431,0.138,0.79457,0.149,-0.5905600000000001,0.142,0.99,-1,0,-1,0,-1,0,0.138,0.87365,0.149,-0.61192,0.142,1.0666,-1,0,-1,0,-1,0,0.3263,1,claret_nonlinear_limb_darkening_model_2011,-0.2856808,0.502446,0.0072032,0.5321819999999999,mandel-agol_geometric_transit_model,7.109,855.7,739.7,0.023943700000000002,172.93,0,0,0,0,0.6283,1.4,0.235,1.012,1.649,0.593,1.831,26.89,1.933,0.5754,31.3,222.2,0.012936099999999999,367.509,0.0050387884999999995,0.014176943000000001,128.88986,85.915982,1.693,89.6,21.6,240.0,171.0,5754.0,0.19,4.53,0.3,0.07,01-MAY-2016,6.853,7.736000000000001,36.0,7.48,39.54,0.6864,-4.761,-81.3,5.47,214.3,11111111111111111000000000000000,PHO1,KIC0,KIC0,DSEP,0.248,0.905,10.41,0.9945,0.6659999999999999,0.023943700000000002,2455010.0,,,,,,,,,,,,,,,,,96.0,89.82,0.28,0.79,-1.0,367.525,-1.0,172.9,-1.0,2455010.0,-1.0,26.1,-1.0,11.02,-1.0,245.5,1,67510.0,643.0,3.4339999999999997,154.0,66.64,-0.002302,44230.0,39770.0,5383.65,1131.4,1.112,4.545,4.245,-1.392,31,4,0,0,0,0,006867765-01,"[172.93000000000001, 540.43900000000008, 907.94800000000009, 1275.4570000000001]"
4,14383,294.997491,43.077992,q1_q17_dr25_tce,007/007456/007456155/dv/kplr007456155-20160209194854_dvr.pdf,007/007456/007456155/dv/kplr007456155-003-20160209194854_dvs.pdf,0,7456155,3,4,30.5,31.54,2.07e-05,19.666520000000002,0.000123,43.079042,0.8170000000000001,0.8140000000000001,0.441,3.781,0.0047,0.006640999999999999,0.00256,0.003698,11.3,0.067,-3.1868,0.0669,-2.773,0.0669,4.2244,-1,0,-1,0,-1,0,0.067,1.4912,0.0669,-5.2458,0.0669,5.4536,-1,0,-1,0,-1,0,0.0,0,claret_nonlinear_limb_darkening_model_2011,-0.4676728,0.992326,-0.32548699999999997,0.5874545999999999,mandel-agol_geometric_transit_model,-1.0,-1.0,-1.0,-1.0,205.49400000000003,-1,0,-1,0,-1.0,3.926,-1.0,0.9557,-1.0,0.1,-1.0,15.0,-1.0,0.6171,-1.0,2249.0,-1.0,378.94,-1.0,0.042476049,-1.0,200.26345,-1.0,89.97,-1.0,219.0,185.0,5282.0,0.11,4.49,0.3,-0.06,01-MAY-2016,22.38,48.18,27.0,237.9,574.7,0.7399,-49.88,-48.16,18.6,-49.79,11111111111111111000000000000000,PHO54,PHO54,PHO54,DSEP,0.141,0.847,42.63,-0.03171,1.581,-1.0,2455040.0,,,,,,,,,,,,,,,,,94.0,1585.0,-1.0,0.55,-1.0,378.94,-1.0,205.53599999999997,-1.0,2455040.0,-1.0,14.02,-1.0,2.157,-1.0,5705.0,1,360100.0,685.0,0.8852,187.1,258.6,0.009535,0.0,-1.0,0.0,-1.0,0.0,0.0,-0.5361,0.1742,31,4,0,0,0,0,007456155-03,"[205.49400000000003, 584.43399999999997, 963.37400000000002, 1342.3140000000001]"
5,14384,295.01997,43.01715,q1_q17_dr25_tce,007/007456/007456230/dv/kplr007456230-20160209194854_dvr.pdf,007/007456/007456230/dv/kplr007456230-001-20160209194854_dvs.pdf,0,7456230,1,4,116.5,109.9,0.000231,19.668112,0.0022199999999999998,43.014084999999994,9.1,4.5169999999999995,7.99,-11.03,1.12,-0.02431,-1.0,0.0,0.0,0.9309999999999999,-2.4822,0.34299999999999997,-4.5277,0.166,5.1635,-1,0,-1,0,-1,0,1.09,-7.5419,0.324,0.72813,1.12,7.5769,-1,0,-1,0,-1,0,0.010879999999999999,1,claret_nonlinear_limb_darkening_model_2011,-0.5655924,1.454992,-0.7729956,0.7324956,mandel-agol_geometric_transit_model,42.04,661.9,10830.0,0.0345636,220.399,0,0,0,0,450.5,148.2,0.4991,1.1540000000000001,1.0979999999999999,1.0,5.9110000000000005,24.12,2.955,12.06,21450.0,18860.0,0.020208900000000002,375.42400000000004,0.69110394,0.22998679,21.609858,85.163714,0.905,89.33,81.8,476.0,117.0,4765.0,0.4,3.06,0.25,0.21,01-MAY-2016,68.42,508.9,36.0,1697.0,22520.0,0.7187,-36.05,-5.537000000000001,41.77,-4.6930000000000005,11101111111111111000000000000000,PHO1,KIC0,KIC0,DSEP,2.725,5.905,152.9,0.3824,0.32799999999999996,0.0345636,2455050.0,,,,,,,,,,,,,,,,,116.0,7233.0,8.33,12.09,-1.0,375.405,-1.0,220.465,-1.0,2455050.0,-1.0,22.77,-1.0,8.329,-1.0,40360.0,1,3155000.0,560.0,42.71,17800.0,2907.0,0.02482,593.8,3593.0,3629.26,5455.66,0.165,0.578,-0.9905,2.029,31,4,0,0,0,0,007456230-01,"[220.399, 595.82300000000009, 971.24700000000007, 1346.671]"
6,14386,295.01997,43.01715,q1_q17_dr25_tce,007/007456/007456230/dv/kplr007456230-20160209194854_dvr.pdf,007/007456/007456230/dv/kplr007456230-003-20160209194854_dvs.pdf,0,7456230,3,3,50.05,36.58,0.000117,19.667999,0.0011,43.015485999999996,4.62,0.0448,3.95,-5.992000000000001,0.0954,0.06623,-1.0,0.0,0.0,2.23,11.642999999999999,1.55,-1.8295,2.22,11.786,-1,0,-1,0,-1,0,2.23,6.6338,1.55,3.7559,2.09,7.6233,-1,0,-1,0,-1,0,0.0,0,claret_nonlinear_limb_darkening_model_2011,-0.5655924,1.454992,-0.7729956,0.7324956,mandel-agol_geometric_transit_model,-1.0,-1.0,-1.0,-1.0,215.72099999999998,-1,0,-1,0,-1.0,24.97,-1.0,1.16,-1.0,0.1,-1.0,12.0,-1.0,0.452,-1.0,1942.0,-1.0,378.416,-1.0,0.038753088,-1.0,249.08137999999997,-1.0,89.98,-1.0,474.0,117.0,4765.0,0.4,3.06,0.25,0.21,01-MAY-2016,20.74,68.39,27.0,937.6,978.1,0.6955,-24.98,-6.9,17.69,-4.325,11101111111111111000000000000000,PHO1,KIC0,KIC0,DSEP,2.725,5.905,52.59,-0.027339999999999996,0.6829999999999999,-1.0,2455050.0,,,,,,,,,,,,,,,,,67.0,1597.0,-1.0,11.97,-1.0,378.416,-1.0,215.50599999999997,-1.0,2455050.0,-1.0,1.148,-1.0,0.5739,-1.0,20230.0,1,22650000.0,365.0,1.42,795.5,585.7,-0.01486,0.0,-1.0,0.0,-1.0,0.0,0.0,0.3054,0.1404,3,3,0,0,0,0,007456230-03,"[215.72099999999998, 594.13699999999994, 972.55299999999988, 1350.9689999999998]"
7,14620,282.47244,43.1843,q1_q17_dr25_tce,007/007503/007503450/dv/kplr007503450-20160209194854_dvr.pdf,007/007503/007503450/dv/kplr007503450-001-20160209194854_dvs.pdf,0,7503450,1,4,6.563,7.66,4.4200000000000004e-05,18.831464,0.000528,43.184804,1.74,-1.256,1.9,1.815,0.00283,0.001979,0.00317,-0.002806,3.8514,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1,0,-1,0,-1,0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1,0,-1,0,-1,0,7.937,1,claret_nonlinear_limb_darkening_model_2011,-0.3415716,0.6156272,-0.010874,0.4952496,mandel-agol_geometric_transit_model,9.041,742.2,748.9,0.0426526,230.512,0,0,0,0,0.8335,3.7089999999999996,0.1609,0.9571,0.036989999999999995,0.9206,2.283,23.28,3.0860000000000003,5.584,204.5,1551.0,0.0214702,370.74199999999996,0.004108006599999999,0.044316478,12.682493,59.99183299999999,0.2199,89.12,14.4,215.0,162.0,5447.0,0.13,4.6,0.3,-0.24,01-MAY-2016,7.055,6.14,27.0,5.546,68.24,0.7037,-4.618,210.1,4.542,2.8739999999999997,11111111111111111000000000000000,PHO1,KIC0,KIC0,DSEP,0.157,0.767,10.88,1.18,0.603,0.0426526,2455060.0,,,,,,,,,,,,,,,,,92.0,96.08,0.14,0.51,-1.0,370.781,-1.0,230.447,-1.0,2455060.0,-1.0,24.68,-1.0,8.307,-1.0,1549.0,1,67180.0,861.0,2.897,496.6,174.5,0.01731,18190.0,8434.0,3862.5,400.42,2.156,9.103,8.579,-7.646,31,4,0,0,0,0,007503450-01,"[230.512, 601.25399999999991, 971.99599999999987, 1342.7379999999998]"
8,14750,293.806219,42.870709999999995,q1_q17_dr25_tce,007/007288/007288585/dv/kplr007288585-20160209194854_dvr.pdf,007/007288/007288585/dv/kplr007288585-001-20160209194854_dvs.pdf,0,7288585,1,4,5.437,8.401,4.429999999999999e-05,19.587142999999998,0.00043099999999999996,42.869778000000004,1.75,2.443,1.55,-3.3560000000000003,0.0026100000000000003,-0.001338,0.0034200000000000003,0.0017640000000000002,18.684,0.14800000000000002,0.80532,0.152,-0.2239,0.149,0.8358700000000001,-1,0,-1,0,-1,0,0.14800000000000002,0.7811600000000001,0.152,-0.26149,0.149,0.82376,-1,0,-1,0,-1,0,0.1478,1,claret_nonlinear_limb_darkening_model_2011,0.2972868,-0.9499171999999999,1.1285636000000001,0.194708,mandel-agol_geometric_transit_model,9.192,633.5,640.3,0.0390361,173.69,0,0,0,0,10.37,3.522,0.2113,0.9564,0.0822,1.0,26.86,21.46,13.43,10.73,1735.0,531.6,0.0213368,367.094,0.11987355,0.040855369,28.050403999999997,37.74024,1.253,88.48,21.4,242.0,182.0,6047.0,0.19,4.58,0.3,-0.7,01-MAY-2016,6.96,7.285,36.0,3.977,62.1,0.7074,-3.4810000000000003,6.103,3.7060000000000004,64.28,11111111111111111000000000000000,PHO1,KIC0,KIC0,DSEP,0.19899999999999998,0.79,11.88,1.094,0.4143,0.0390361,2455010.0,,,,,,,,,,,,,,,,,125.0,100.0,0.29,0.82,-1.0,367.103,-1.0,173.646,-1.0,2455010.0,-1.0,23.95,-1.0,10.6,-1.0,610.9,1,67000.0,808.0,3.969,199.4,54.97,-0.008836,8088.0,47590.0,3554.95,5222.13,0.1699,0.6343,1.2790000000000001,0.4698,31,4,0,0,0,0,007288585-01,"[173.69, 540.78399999999999, 907.87799999999993, 1274.972]"
9,14799,294.650441,43.10946,q1_q17_dr25_tce,007/007537/007537849/dv/kplr007537849-20160209194854_dvr.pdf,007/007537/007537849/dv/kplr007537849-001-20160209194854_dvs.pdf,0,7537849,1,3,5.979,7.832999999999999,2.97e-05,19.643344,0.000482,43.109660999999996,1.17,-0.7454,1.73,0.7239,0.0009449999999999999,0.0001109,0.0014,-0.0003874,0.35167,0.21600000000000003,1.1196,0.22699999999999998,-0.5955699999999999,0.21899999999999997,1.2681,-1,0,-1,0,-1,0,0.21600000000000003,0.96011,0.22699999999999998,-0.49598000000000003,0.21899999999999997,1.0807,-1,0,-1,0,-1,0,0.2913,1,claret_nonlinear_limb_darkening_model_2011,-0.315342,0.5763028,-0.03650080000000001,0.53494,mandel-agol_geometric_transit_model,8.216000000000001,365.4,326.9,0.026173099999999998,232.37900000000002,0,0,0,0,1.5119999999999998,3.114,0.2276,0.9824,1.665,0.6195,1.9709999999999999,13.74,2.144,0.5737,97.66,787.8,0.0122072,369.276,0.010785407,0.026841497000000002,279.28522000000004,168.18774,0.9177,89.79,23.7,260.0,186.0,5665.0,0.19,4.35,0.3,0.02,01-MAY-2016,7.218,6.244,27.0,5.159,32.7,0.6605,-4.001,136.2,3.617,-69.19,00011111111111111000000000000000,KIC0,KIC0,KIC0,DSEP,0.29,1.063,11.86,1.0490000000000002,0.5108,0.026173099999999998,2455070.0,,,,,,,,,,,,,,,,,73.0,77.8,0.39,1.08,-1.0,369.26800000000003,-1.0,232.426,-1.0,2455070.0,-1.0,12.52,-1.0,1.4709999999999999,-1.0,707.1,1,57010.0,538.0,2.6510000000000002,181.4,70.32,-0.01329,9937.0,9487.0,4013.02,904.78,1.047,4.147,3.127,-3.21,31,2,1,0,0,0,007537849-01,"[232.37900000000002, 601.65499999999997, 970.93100000000004, 1340.2070000000001]"
10,14823,292.64019,42.92993,q1_q17_dr25_tce,007/007365/007365519/dv/kplr007365519-20160209194854_dvr.pdf,007/007365/007365519/dv/kplr007365519-001-20160209194854_dvs.pdf,0,7365519,1,4,6.3020000000000005,8.708,8.51e-06,19.509347,7.82e-05,42.929818,0.336,0.03948,0.282,-0.4031,0.00303,-7.983e-05,0.00412,0.0001847,2.2858,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1,0,-1,0,-1,0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1,0,-1,0,-1,0,2.1180000000000003,1,claret_nonlinear_limb_darkening_model_2011,0.0520264,-0.3282248,0.608684,0.37351599999999996,mandel-agol_geometric_transit_model,11.94,718.1,735.6,0.045552800000000004,232.977,0,0,0,0,7.712999999999999,5.721,0.275,1.013,0.1507,1.0,19.36,44.19,9.677999999999999,22.09,1308.0,873.0,0.0290128,368.314,0.068025894,0.052007440999999995,6.4242144,20.826161,1.261,87.25,27.5,269.0,190.0,6119.0,0.21,4.44,0.3,-0.16,01-MAY-2016,7.997999999999999,7.314,27.0,3.944,98.74,0.6642,-3.602,22.5,4.99,-29.62,11111111111111111000000000000000,PHO1,KIC0,KIC0,DSEP,0.33,1.008,13.11,1.371,0.4136,0.045552800000000004,2455070.0,,,,,,,,,,,,,,,,,75.0,59.48,0.51,1.24,-1.0,368.335,-1.0,232.976,-1.0,2455070.0,-1.0,23.63,-1.0,8.104,-1.0,449.1,1,67790.0,695.0,5.2170000000000005,288.1,56.54,0.02018,4975.0,13190.0,3495.8,2295.25,0.377,1.406,6.984,0.2613,31,4,0,0,0,0,007365519-01,"[232.977, 601.29100000000005, 969.60500000000002, 1337.9190000000001]"
11,14930,283.32137,42.93929,q1_q17_dr25_tce,007/007340/007340624/dv/kplr007340624-20160209194854_dvr.pdf,007/007340/007340624/dv/kplr007340624-001-20160209194854_dvs.pdf,0,7340624,1,4,5.563,7.3839999999999995,5.429999999999999e-05,18.888119,0.0007480000000000001,42.939329,2.15,1.107,2.69,0.1391,0.0018100000000000002,-0.0009362,0.00227,-0.0001617,0.59335,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1,0,-1,0,-1,0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1,0,-1,0,-1,0,2.676,1,claret_nonlinear_limb_darkening_model_2011,-0.20004960000000002,0.28879040000000006,0.15553699999999998,0.49938180000000004,mandel-agol_geometric_transit_model,7.482,694.9,604.6,0.0218502,233.396,0,0,0,0,1.6640000000000001,2.807,0.2763,1.0290000000000001,3.4019999999999997,0.4954,2.589,16.04,2.7539999999999996,0.5554,112.5,833.7,0.011499200000000001,369.28,0.01362747,0.027049072,351.472,158.19242,1.631,89.82,26.2,250.0,193.0,5900.0,0.22,4.51,0.3,0.07,01-MAY-2016,6.825,7.249,36.0,2.77,60.17,0.6757,-4.0089999999999995,-30.32,3.609,76.03,11111111111111111000000000000000,PHO1,KIC0,KIC0,DSEP,0.297,0.951,10.93,1.013,0.5429,0.0218502,2455070.0,,,,,,,,,,,,,,,,,100.0,94.81,0.39,0.93,-1.0,369.289,-1.0,233.412,-1.0,2455070.0,-1.0,23.98,-1.0,9.831,-1.0,923.5,1,67110.0,795.0,3.091,224.2,72.68,0.01901,16570.0,18740.0,4389.56,1170.41,0.8842,3.536,5.68,-1.4909999999999999,31,4,0,0,0,0,007340624-01,"[233.39599999999999, 602.67599999999993, 971.9559999999999, 1341.2359999999999]"
12,14938,292.755311,42.95003,q1_q17_dr25_tce,007/007365/007365910/dv/kplr007365910-20160209194854_dvr.pdf,007/007365/007365910/dv/kplr007365910-001-20160209194854_dvs.pdf,0,7365910,1,4,5.931,7.401,3.47e-05,19.516887,0.000293,42.949940999999995,1.37,-5.267,1.06,-0.3188,0.0007700000000000001,0.002932,0.000599,0.0002544,26.208000000000002,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1,0,-1,0,-1,0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1,0,-1,0,-1,0,12.37,1,claret_nonlinear_limb_darkening_model_2011,-0.03561040000000001,-0.1569264,0.5863764,0.3269692,mandel-agol_geometric_transit_model,11.0,700.0,709.5,0.0136575,170.753,0,0,0,0,2.29,3.592,0.4491,0.9441,17.84,0.1081,1.956,22.57,2.0780000000000003,0.4799,54.73,557.9,0.00746001,368.477,0.009417225999999999,0.02147325,246.27388,126.70873,8.16,89.95,62.0,314.0,100.0,5583.0,0.47,3.98,0.15,-0.48,01-MAY-2016,7.599,6.874,27.0,0.7967,48.12,0.6717,-3.7680000000000002,14.26,3.5260000000000002,9.529,11111111111111111000000000000000,SPE68,SPE68,SPE68,DSEP,0.7090000000000001,1.5330000000000001,11.02,1.486,0.5091,0.0136575,2455000.0,,,,,,,,,,,,,,,,,53.0,30.77,1.81,2.3,-1.0,368.42400000000004,-1.0,170.783,-1.0,2455000.0,-1.0,24.01,-1.0,11.19,-1.0,554.6,1,67220.0,460.0,2.339,126.2,43.69,0.0002767,4795.0,5891.0,4038.05,954.7,0.8138,3.8930000000000002,0.7999,-0.6629,31,4,0,0,0,0,007365910-01,"[170.75299999999999, 539.23000000000002, 907.70699999999999, 1276.184]"
13,15127,293.18793,42.77565,q1_q17_dr25_tce,007/007204/007204872/dv/kplr007204872-20160209194854_dvr.pdf,007/007204/007204872/dv/kplr007204872-001-20160209194854_dvs.pdf,0,7204872,1,4,6.972,10.12,1.6800000000000002e-05,19.545847,0.000215,42.775615,0.665,-0.6037,0.772,-0.1267,0.00044,0.0003202,0.000519,0.0002201,1.874,0.187,1.1628,0.177,0.80829,0.183,1.4161,-1,0,-1,0,-1,0,0.187,0.96221,0.177,0.84752,0.182,1.2822,-1,0,-1,0,-1,0,0.09045,1,claret_nonlinear_limb_darkening_model_2011,0.122482,-0.48944319999999997,0.7106560000000001,0.3519432,mandel-agol_geometric_transit_model,11.23,673.2,659.9,0.0342381,173.012,0,0,0,0,1.0270000000000001,3.363,0.2526,1.034,0.00948,0.9677,1.7790000000000001,25.94,6.162000000000001,10.46,74.8,633.8,0.018984900000000002,367.43800000000005,0.0022602307,0.029894866000000003,4.340745,38.153221,0.1779,88.55,25.7,276.0,206.0,6258.0,0.19,4.45,0.35,-0.16,01-MAY-2016,8.972000000000001,10.54,36.0,10.09,44.71,0.6554,-4.051,30.81,3.6439999999999997,215.4,11111111111111111000000000000000,PHO1,KIC0,KIC0,DSEP,0.305,1.031,15.44,1.109,0.4002,0.0342381,2455010.0,,,,,,,,,,,,,,,,,125.0,91.86,0.51,1.37,-1.0,367.45,-1.0,172.975,-1.0,2455010.0,-1.0,23.95,-1.0,7.23,-1.0,570.5,1,68890.0,804.0,2.9930000000000003,145.0,45.18,0.01251,7535.0,3707.0,3972.03,367.87,2.032,10.02,5.766,-1.358,31,4,0,0,0,0,007204872-01,"[173.012, 540.45000000000005, 907.88800000000015, 1275.3260000000002]"
